"minute" "cpu" "ram"
"234" 234 0 16.7207503556188
"235" 235 0 16.7211205497842
"236" 236 0 16.7207503556188
"237" 237 0.8 16.7194167852063
"238" 238 0 16.7194167852063
"239" 239 0 16.7163051209104
"240" 240 0 16.7211948790896
"241" 241 0.8 16.7185277382646
"242" 242 0.8 16.7149715504979
"243" 243 0 16.7206760282894
"244" 244 0 16.7185277382646
"245" 245 0 16.7198613086771
"246" 246 0 16.7207503556188
"247" 247 0 16.7207503556188
"248" 248 0 16.7175643778255
"249" 249 0.8 16.7176386913229
"250" 250 0.8 16.716230813341
"251" 251 0 16.716230813341
"252" 252 0.8 16.7176386913229
"253" 253 0 16.7172684800341
"254" 254 0 16.7163051209104
"255" 255 0 16.7163051209104
"256" 256 0 16.7148972488565
"257" 257 0 16.7096372688478
"258" 258 0 16.7171941678521
"259" 259 0 16.7207503556188
"260" 260 0.8 16.7216394025605
"261" 261 0 16.7194167852063
"262" 262 0 16.7217137345027
"263" 263 0 16.7238620199146
"264" 264 0.8 16.7337159215679
"265" 265 0 16.7207503556188
"266" 266 0 16.7171941678521
"267" 267 0 16.7207503556188
"268" 268 0 16.7167496443812
"269" 269 0 16.7198613086771
"270" 270 0 16.7198613086771
"271" 271 0 16.7198613086771
"272" 272 0.8 16.7198613086771
"273" 273 0 15.5898133454243
"274" 274 0 15.5921052631579
"275" 275 0 15.5965504978663
"276" 276 0 15.5876600284495
"277" 277 0 15.5903271692745
"278" 278 0 15.5912162162162
"279" 279 0 15.5912162162162
"280" 280 0 15.5921052631579
"281" 281 0 15.588993598862
"282" 282 0 15.588993598862
"283" 283 0.8 15.5916607396871
"284" 284 1.6 15.5907716927454
"285" 285 0.8 15.5912162162162
"286" 286 0 15.5876600284495
"287" 287 0 15.5876600284495
"288" 288 0 15.5903271692745
"289" 289 0.8 15.5863957432243
"290" 290 0 15.5894381223329
"291" 291 1.7 15.5907716927454
"292" 292 0 15.5952169274538
"293" 293 0 15.5898826458037
"294" 294 0.8 15.5854374110953
"295" 295 0 15.5885490753912
"296" 296 0 15.5912162162162
"297" 297 0 15.5912162162162
"298" 298 0 15.5907716927454
"299" 299 0 15.5908409976929
"300" 300 0 15.5886183704586
"301" 301 0 15.5907716927454
"302" 302 0 15.5921745740335
"303" 303 0.8 15.5912162162162
"304" 304 0 15.5921052631579
"305" 305 0 15.5912162162162
"306" 306 0 15.5903271692745
"307" 307 0.8 15.5929943100996
"308" 308 0.8 15.5912162162162
"309" 309 0 15.5925497866287
"310" 310 0 15.5947724039829
"311" 311 0.8 15.5917300485866
"312" 312 0 15.5938833570412
"313" 313 0.8 15.5885490753912
"314" 314 0 15.5849928876245
"315" 315 0 15.5907716927454
"316" 316 0 15.5916607396871
"317" 317 0.8 15.5859512177775
"318" 318 0 15.5872155049787
"319" 319 0.8 15.5912855231398
"320" 320 0 15.5988424557364
"321" 321 0 15.5983285917496
"322" 322 0 15.5961753030552
"323" 323 0 15.5930636249272
"324" 324 0.8 15.5943278805121
"325" 325 0.8 15.597439544808
"326" 326 0 15.5961753030552
"327" 327 0.8 15.5952169274538
"328" 328 0.8 15.5987731152205
"329" 329 0.8 15.5921745740335
"330" 330 0 15.5917300485866
"331" 331 0 15.5894381223329
"332" 332 0 15.586326458037
"333" 333 0 15.586326458037
"334" 334 0 15.5907716927454
"335" 335 0 15.5917300485866
"336" 336 0 15.5907716927454
"337" 337 0 15.587284794118
"338" 338 0 15.5898826458037
"339" 339 0.8 15.5917300485866
"340" 340 0 15.5898826458037
"341" 341 0 15.586326458037
"342" 342 0.8 15.5894381223329
"343" 343 0.8 15.5916607396871
"344" 344 0 15.5929943100996
"345" 345 0 15.5885490753912
"346" 346 0 15.5925497866287
"347" 347 0 15.5916607396871
"348" 348 0 15.5938833570412
"349" 349 0 15.5939526758209
"350" 350 0 15.5929943100996
"351" 351 0 15.5929943100996
"352" 352 0.8 15.5912855231398
"353" 353 0 15.5921052631579
"354" 354 0 15.5921052631579
"355" 355 0 15.5921052631579
"356" 356 0.8 15.5898826458037
"357" 357 0.8 15.5929943100996
"358" 358 0 15.5907716927454
"359" 359 0.8 15.5907716927454
"360" 360 0 15.5929943100996
"361" 361 0 15.5947724039829
"362" 362 0 15.5885490753912
"363" 363 0 15.5898826458037
"364" 364 0.8 15.588993598862
"365" 365 0 15.5912162162162
"366" 366 0.8 15.5898826458037
"367" 367 0 15.5867709815078
"368" 368 0 15.5903271692745
"369" 369 0.8 15.5867709815078
"370" 370 0 15.5832147937411
"371" 371 0.8 15.5894381223329
"372" 372 0 15.5885490753912
"373" 373 0 15.5908409976929
"374" 374 0 15.588993598862
"375" 375 0 15.5912162162162
"376" 376 0 15.5886183704586
"377" 377 0.8 15.5921052631579
"378" 378 0 15.5846176414369
"379" 379 0 15.5912162162162
"380" 380 0 15.5899519467992
"381" 381 0 15.5898826458037
"382" 382 1.7 15.5912162162162
"383" 383 0.8 15.5916607396871
"384" 384 0.8 15.5934388335704
"385" 385 0 15.5921052631579
"386" 386 0 15.5921052631579
"387" 387 0 15.5898826458037
"388" 388 0.8 15.5903964722461
"389" 389 0 15.5894381223329
"390" 390 0.8 15.5903271692745
"391" 391 0 15.5926190994803
"392" 392 0 15.5881045519203
"393" 393 0 15.5876600284495
"394" 394 0 15.5930636249272
"395" 395 0 15.5930636249272
"396" 396 0 15.5903271692745
"397" 397 0 15.5969950213371
"398" 398 0 15.5903964722461
"399" 399 0 15.5908409976929
"400" 400 0.8 15.5894381223329
"401" 401 0 15.5894381223329
"402" 402 0.8 15.5863957432243
"403" 403 0 15.5894381223329
"404" 404 0 15.5886183704586
"405" 405 0 15.5921745740335
"406" 406 0 15.5912162162162
"407" 407 0 15.588993598862
"408" 408 0 15.5823257467994
"409" 409 0 15.5854374110953
"410" 410 0 15.5837285905432
"411" 411 0 15.5867709815078
"412" 412 0 15.5863957432243
"413" 413 0 15.5876600284495
"414" 414 0 15.5934388335704
"415" 415 0 15.5917300485866
"416" 416 0.8 15.5934388335704
"417" 417 0 15.5921745740335
"418" 418 0 15.5912162162162
"419" 419 0 15.5858819345661
